Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33736494
"Population, total",SP.POP.TOTL,Albania,ALB,2880703
"Population, total",SP.POP.TOTL,Algeria,DZA,39871528
"Population, total",SP.POP.TOTL,American Samoa,ASM,55537
"Population, total",SP.POP.TOTL,Andorra,AND,78014
"Population, total",SP.POP.TOTL,Angola,AGO,27859305
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,99923
"Population, total",SP.POP.TOTL,Argentina,ARG,43417765
"Population, total",SP.POP.TOTL,Armenia,ARM,2916950
"Population, total",SP.POP.TOTL,Aruba,ABW,104341
"Population, total",SP.POP.TOTL,Australia,AUS,23789338
"Population, total",SP.POP.TOTL,Austria,AUT,8633169
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,386838
"Population, total",SP.POP.TOTL,Bahrain,BHR,1371855
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161200886
"Population, total",SP.POP.TOTL,Barbados,BRB,284217
"Population, total",SP.POP.TOTL,Belarus,BLR,9489616
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196
"Population, total",SP.POP.TOTL,Belize,BLZ,359288
"Population, total",SP.POP.TOTL,Benin,BEN,10575952
"Population, total",SP.POP.TOTL,Bermuda,BMU,65235
"Population, total",SP.POP.TOTL,Bhutan,BTN,787386
"Population, total",SP.POP.TOTL,Bolivia,BOL,10724705
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3535961
"Population, total",SP.POP.TOTL,Botswana,BWA,2209197
"Population, total",SP.POP.TOTL,Brazil,BRA,205962108
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30113
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,417542
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18110624
"Population, total",SP.POP.TOTL,Burundi,BDI,10199270
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,532913
"Population, total",SP.POP.TOTL,Cambodia,KHM,15517635
"Population, total",SP.POP.TOTL,Cameroon,CMR,22834522
"Population, total",SP.POP.TOTL,Canada,CAN,35848610
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,59963
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4546100
"Population, total",SP.POP.TOTL,Chad,TCD,14009413
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163758
"Population, total",SP.POP.TOTL,Chile,CHL,17762681
"Population, total",SP.POP.TOTL,China,CHN,1371220000
"Population, total",SP.POP.TOTL,Colombia,COL,48228697
"Population, total",SP.POP.TOTL,Comoros,COM,777424
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,76196619
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4995648
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4807852
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23108472
"Population, total",SP.POP.TOTL,Croatia,HRV,4203604
"Population, total",SP.POP.TOTL,Cuba,CUB,11461432
"Population, total",SP.POP.TOTL,Curacao,CUW,157979
"Population, total",SP.POP.TOTL,Cyprus,CYP,1160985
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10546059
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483
"Population, total",SP.POP.TOTL,Djibouti,DJI,927414
"Population, total",SP.POP.TOTL,Dominica,DMA,73162
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10528394
"Population, total",SP.POP.TOTL,Ecuador,ECU,16144368
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,93778172
"Population, total",SP.POP.TOTL,El Salvador,SLV,6312478
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1175389
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1315407
"Population, total",SP.POP.TOTL,Ethiopia,ETH,99873033
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48965
"Population, total",SP.POP.TOTL,Fiji,FJI,892149
"Population, total",SP.POP.TOTL,Finland,FIN,5479531
"Population, total",SP.POP.TOTL,France,FRA,66624068
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277690
"Population, total",SP.POP.TOTL,Gabon,GAB,1930175
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1977590
"Population, total",SP.POP.TOTL,Georgia,GEO,3717100
"Population, total",SP.POP.TOTL,Germany,DEU,81686611
"Population, total",SP.POP.TOTL,Ghana,GHA,27582821
"Population, total",SP.POP.TOTL,Gibraltar,GIB,34228
"Population, total",SP.POP.TOTL,Greece,GRC,10820883
"Population, total",SP.POP.TOTL,Greenland,GRL,56114
"Population, total",SP.POP.TOTL,Grenada,GRD,106823
"Population, total",SP.POP.TOTL,Guam,GUM,161797
"Population, total",SP.POP.TOTL,Guatemala,GTM,16252429
"Population, total",SP.POP.TOTL,Guinea,GIN,12091533
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1770526
"Population, total",SP.POP.TOTL,Guyana,GUY,768514
"Population, total",SP.POP.TOTL,Haiti,HTI,10711061
"Population, total",SP.POP.TOTL,Honduras,HND,8960829
